Decimal,Alpha Tag,Mode,Hex,Description,Tag,Category
16,SFPD TAC 7,DE,010,Tactical 7,Law Tac,Police
48,SFPD TAC B14,DE,030,Tactical B14,Law Tac,Police
80,SFPD NARC 2,DE,050,Narcotics 2,Law Tac,Police
112,SFPD NARC 3,DE,070,Narcotics 3,Law Tac,Police
144,SFPD NARC 4,DE,090,Narcotics 4,Law Tac,Police
176,SFPD NARC 5,DE,0b0,Narcotics 5,Law Tac,Police
208,SFPD SID 2,DE,0d0,Special Investigations Division 2,Law Tac,Police
240,SFPD VICE 1,DE,0f0,Vice 1,Law Tac,Police
272,SFPD CMD 1,DE,110,Command 1,Law Talk,Police
304,SFPD CMD 2,DE,130,Command 2,Law Talk,Police
400,SFPD Encr 400,DE,190,Encrypted,Law Talk,Police
432,SFPD Encr 432,DE,1b0,Encrypted,Law Talk,Police
528,SFPD Encr 528,DE,210,Encrypted,Law Talk,Police
560,SFPD Encr 560,DE,230,Encrypted,Law Talk,Police
592,SFPD Encr 592,DE,250,Encrypted,Law Talk,Police
720,SFPD Encr 720,DE,2d0,Encrypted,Law Talk,Police
944,SFFD EMS1,DE,3b0,EMS 1  FDB13  MedicHospital  All Hospitals,Hospital,EMS
976,SFFD EMS2,DE,3d0,EMS 2  FDB14  MedicHospital  SFGH,Hospital,EMS
1008,SFFD B7,DE,3f0,Arson,Fire-Talk,Fire
12848,SFPD A1,A,3230,Dispatch Mobiles  Southern B  Tenderloin J Districts,Law Dispatch,Police
12880,SFPD A2,A,3250,Service Portables  Southern B  Tenderloin J Districts,Law Talk,Police
12912,SFPD A3,A,3270,Dispatch Mobiles  Bayview C  Mission D Districts,Law Dispatch,Police
12944,SFPD A4,A,3290,Service Portables  Bayview C  Mission D Districts,Law Talk,Police
12976,SFPD A5,A,32b0,Dispatch Mobiles  Central A  Northern E  Park F Districts,Law Dispatch,Police
13008,SFPD A6,A,32d0,Service Portables  Central A  Northern E  Park F Districts,Law Talk,Police
13040,SFPD A7,A,32f0,Dispatch Mobiles  Richmond G  Ingleside H  Taraval I Districts,Law Dispatch,Police
13072,SFPD A8,A,3310,Service Portables  Richmond G  Ingleside H  Taraval I Districts,Law Talk,Police
13104,SFPD A9,A,3330,Dispatch Spare,Law Dispatch,Police
13136,SFPD A10,A,3350,Dispatch Spare,Law Dispatch,Police
13168,SFPD A11,A,3370,PAT  Muni  Tac  Traffic,Law Talk,Police
13200,SFPD A12,A,3390,Dispatch Spare,Law Dispatch,Police
13232,SFPD A13,A,33b0,Station Service A B E F J,Law Talk,Police
13264,SFPD A14,A,33d0,Station Service C D G H I,Law Talk,Police
13296,SFPD PAROLE,A,33f0,Parole,Law Talk,Police
13360,SFPD MA 1,A,3430,Mutual Aid 1,Law Tac,Police
13392,SFPD MA 2,A,3450,Mutual Aid 2,Law Tac,Police
13424,SFPD MA 3,A,3470,Mutual Aid 3,Law Tac,Police
13520,EVENT 1,A,34d0,All City Event 1,Interop,CitywideMutual Aid
13552,EVENT 2,A,34f0,All City Event 2,Interop,CitywideMutual Aid
13584,SAFEVT 1,A,3510,Public Safety Event 1,Interop,CitywideMutual Aid
13616,SAFEVT 2,A,3530,Public Safety Event 2,Interop,CitywideMutual Aid
13648,SAFEVT 3,A,3550,Public Safety Event 3,Interop,CitywideMutual Aid
13680,MAP,A,3570,Mobile Assistance Patrol,Public Works,Public Service Emergency Radio System
13712,SFPD B3,A,3590,Tactical B3,Law Talk,Police
13840,ENF EVT 1,A,3610,Enforcement Event 1,Interop,CitywideMutual Aid
13872,ENF EVT 2,A,3630,Enforcement Event 2,Interop,CitywideMutual Aid
13904,ENF EVT 3,A,3650,Enforcement Event 3,Interop,CitywideMutual Aid
13936,ENF EVT 4,A,3670,Enforcement Event 4,Interop,CitywideMutual Aid
13968,SFPD HSU,A,3690,Homeland Security Unit,Law Talk,Police
14064,SFPD MA 4,A,36f0,Mutual Aid 4,Law Tac,Police
14224,SFPD MA 5,A,3790,Mutual Aid 5,Law Tac,Police
14544,SFPD INV 1,A,38d0,Investigations 1  Administration,Law Talk,Police
14704,SFPD TRNG 1,A,3970,Training 1,Law Talk,Police
14736,SFPD TRNG 2,A,3990,Training 2,Law Talk,Police
14800,SFFD A1,A,39d0,Control A1  Downtown Dispatch,Fire Dispatch,Fire
14832,SFFD A2,A,39f0,Control A2  NorthWest Dispatch,Fire Dispatch,Fire
14864,SFFD A3,A,3a10,Control A3  SouthEast Dispatch,Fire Dispatch,Fire
14896,SFFD A4,A,3a30,Command A4  Major Incidents,Fire-Talk,Fire
14928,SFFD A5,A,3a50,Command A5  Division 2,Fire-Talk,Fire
14960,SFFD A6,A,3a70,Command A6  Division 3,Fire-Talk,Fire
14992,SFFD A7,A,3a90,Tactical A7  Battalion 7,Fire-Tac,Fire
15024,SFFD A8,A,3ab0,Tactical A8  Battalion 8,Fire-Tac,Fire
15056,SFFD A9,A,3ad0,Tactical A9  Battalion 9,Fire-Tac,Fire
15088,SFFD A10,A,3af0,Tactical A10  Battalion 10,Fire-Tac,Fire
15120,SFFD A11,A,3b10,Tactical A11  Battalion 1,Fire-Tac,Fire
15152,SFFD A12,A,3b30,Tactical A12  Battalion 2,Fire-Tac,Fire
15184,SFFD A13,A,3b50,Tactical A13  Battalion 3,Fire-Tac,Fire
15216,SFFD A14,A,3b70,Tactical A14  Battalion 4,Fire-Tac,Fire
15248,SFFD A15,A,3b90,Tactical A15  Battalion 5,Fire-Tac,Fire
15280,SFFD A16,A,3bb0,Tactical A16  Battalion 6,Fire-Tac,Fire
15344,SFFD EMS4,A,3bf0,EMS 4  FDB16  Private Ambulances,EMS Dispatch,EMS
15440,SFFD B8,A,3c50,Prevention,Fire-Talk,Fire
15472,SFFD B9,A,3c70,Auxiliary Water Supply System AWSS,Fire-Talk,Fire
15504,MEDEXAM,A,3c90,Medical Examiner Coroner,Law Talk,City Government
15600,SIRENTG,A,3cf0,Outdoor Warning Sirens,Data,City Government
15760,SFFD B10,A,3d90,Bureau of Equipment BOE,Fire-Talk,Fire
15792,SFFD B12,A,3db0,Training,Fire-Talk,Fire
15856,SFSD A1 CJ1,A,3df0,County Jail 1,Corrections,Sheriff
15888,SFSD A2 CJ2,A,3e10,County Jail 2,Corrections,Sheriff
15920,SFSD A3 CJ3,A,3e30,County Jail 3,Corrections,Sheriff
15952,SFSD A4 CJ4,A,3e50,County Jail 4,Corrections,Sheriff
15984,SFSD A5 CJ5,A,3e70,County Jail 5,Corrections,Sheriff
16016,SFSD A6,A,3e90,"Laguna Honda Patrol ",Law Dispatch,Sheriff
16048,SFSD A7,A,3eb0,Classification UnitSBBS,Corrections,Sheriff
16080,SFSD A8,A,3ed0,City Hall Patrol Dispatch,Law Dispatch,Sheriff
16112,SFSD A9,A,3ef0,"Juvenile Justice Commission JJC Courts  ",Law Dispatch,Sheriff
16144,SFSD A10,A,3f10,"Courts Dispatch ",Law Dispatch,Sheriff
16176,SFSD A11,A,3f30,TransportationSWAPSFGH,Law Tac,Sheriff
16208,SFSD A12,A,3f50,Law Talk  Future,Law Tac,Sheriff
16240,SFSD A15 TAC,A,3f70,TacticalEmergency Services Unit,Law Tac,Sheriff
16272,SFSD A16 DSP,A,3f90,Patrol DispatchSF General,Law Dispatch,Sheriff
16464,DPT A1,A,4050,Dept of Parking  Traffic A1  PCO Dispatch,Law Tac,City Government
16496,DPT A2,A,4070,Dept of Parking  Traffic A2  PTC Administration  Engineering,Law Tac,City Government
16528,DPT A3,A,4090,Dept of Parking  Traffic A3  Paint  Traffic Signal Shops,Public Works,City Government
16560,DPT A4,A,40b0,Dept of Parking  Traffic A4  Parking Meter  Sign Shops,Public Works,City Government
16592,DPT A5,A,40d0,Dept of Parking  Traffic A5  PTC Special Events,Law Tac,City Government
16624,DPT A6,A,40f0,Dept of Parking  Traffic A6  Traffic Control Center,Public Works,City Government
16656,SCOFF,A,4110,Parking Scofflaws also SFPD A15 SCOFFLAW,Law Tac,City Government
16688,TOW,A,4130,Parking Tow Dispatch also SFPD A16 TOW CH,Law Tac,City Government
16816,WATER 1,A,41b0,Water Department 1  Administration,Utilities,City Government
16848,WATER 2,A,41d0,Water Department 2  Operations,Utilities,City Government
16912,REC A1,A,4210,Recreation  Parks A1  AdminRecMarinaEvents,Public Works,City Government
16944,REC A2,A,4230,Recreation  Parks A2  Structural Maintenance,Public Works,City Government
16976,REC A3,A,4250,Recreation  Parks A3  Park Maintenance  Urban Forestry,Public Works,City Government
17008,REC A4,A,4270,Recreation  Parks A4  Park Patrol,Security,City Government
17040,REC A5,A,4290,Recreation  Parks A5  Candlestick Park,Public Works,City Government
17072,Water 3,A,42b0,Water Department 3,Utilities,City Government
17424,OES 1,A,4410,Office of Emergency Services 1,Emergency Ops,OES  Homeland Security
17456,OES 2,A,4430,Office of Emergency Services 2,Emergency Ops,OES  Homeland Security
17488,OES ADMIN,A,4450,Office of Emergency Services  Administration,Emergency Ops,OES  Homeland Security
17648,DTIS1,A,44f0,Telecomms  Info Services 1,Public Works,City Government
17680,DTIS2,A,4510,Telecomms  Info Services 2,Public Works,City Government
17712,PUBSAFETY,A,4530,Telecomms  Info Services 3  Public Safety,Public Works,City Government
17744,TELECOM,A,4550,Telecomms  Info Services 4  Telecommunications,Public Works,City Government
17776,EMERGENCY2,A,4570,Telecomms  Info Services 5  Emergency,Public Works,City Government
17872,SFSU PD 1,A,45d0,Police Dispatch,Law Dispatch,San Francisco State University
17904,SFSU PD 2,A,45f0,Police Tac,Law Tac,San Francisco State University
17936,SFSU PD 3,A,4610,Police Parking,Law Tac,San Francisco State University
18032,UCSF PD 1,A,4670,Police Dispatch,Law Dispatch,UC San Francisco
18064,UCSF PD 2,A,4690,Police 2,Law Tac,UC San Francisco
18096,UCSF PD 3,A,46b0,Police 3,Law Tac,UC San Francisco
18608,CCSF PD,A,48b0,City College of San Francisco Police,Law Dispatch,City Government
19216,SFPD BU 1,A,4b10,Police BackUp 1,Law Talk,Public Service Emergency Radio System
19248,SFPD BU 2,A,4b30,Police BackUp 2,Law Talk,Public Service Emergency Radio System
19280,SFPD BU 3,A,4b50,Police BackUp 3,Law Talk,Public Service Emergency Radio System
19312,SFPD BU 4,A,4b70,Police BackUp 4,Law Talk,Public Service Emergency Radio System
19344,SFPD BU 5,A,4b90,Police BackUp 5,Law Talk,Public Service Emergency Radio System
19376,SFFD BU 1,A,4bb0,Fire BackUp 1,Fire-Talk,Public Service Emergency Radio System
19408,SFFD BU 2,A,4bd0,Fire BackUp 2,Fire-Talk,Public Service Emergency Radio System
19440,SFSD BU 1,A,4bf0,Sheriff BackUp 1,Law Talk,Public Service Emergency Radio System
19472,SFSD BU 2,A,4c10,Sheriff BackUp 2,Law Talk,Public Service Emergency Radio System
25136,SF USD 1,A,6230,San Francisco Unified School District 1 Maintenance A,Schools,Public Service Emergency Radio System
25168,SF USD 2,A,6250,San Francisco Unified School District 2 Maintenance B,Schools,Public Service Emergency Radio System
25200,SF USD 3,A,6270,San Francisco Unified School District 3,Schools,Public Service Emergency Radio System
25232,SF USD 4,A,6290,San Francisco Unified School District 4,Schools,Public Service Emergency Radio System
25648,Animal Contr,A,6430,Animal Control,Public Works,Public Service Emergency Radio System
26320,CAO 1,A,66d0,Chief Administrators Office 1 Special,Public Works,Public Service Emergency Radio System
26352,CAO 2,A,66f0,Chief Administrators Office 2 Operations,Public Works,Public Service Emergency Radio System
26384,CAO 3,A,6710,Chief Administrators Office 3 Farmers Market,Public Works,Public Service Emergency Radio System
32432,DA 1,A,7eb0,District Attorney 1,Law Talk,Public Service Emergency Radio System
48080,RADIO1,A,bbd0,Radio Service 1,Public Works,Public Service Emergency Radio System
48112,RADIO2,A,bbf0,Radio Service 2,Public Works,Public Service Emergency Radio System
48336,Port Admin,A,bcd0,Port Authority  Administration,Public Works,Public Service Emergency Radio System
48400,Port Maint,A,bd10,Port Authority  Maintenance,Public Works,Public Service Emergency Radio System
48432,WETA,A,bd30,Water Emergency Transportation Authority,Public Works,Public Service Emergency Radio System
49008,DPHOPS,A,bf70,Public Health 1  Operations,Public Works,Public Service Emergency Radio System
49040,DPHADM,A,bf90,Public Health 3  Administration,Public Works,Public Service Emergency Radio System
49072,SFGHENG,A,bfb0,Public Health 2  SFGH Engineering,Law Dispatch,Public Service Emergency Radio System
49104,LHHPD,A,bfd0,Public Health 4  Laguna Honda Police,Law Dispatch,Public Service Emergency Radio System
49136,LHHADMIN,A,bff0,Public Health 5  Laguna Honda Administration,Public Works,Public Service Emergency Radio System
49200,SFGHIP,A,c030,SF General Hospital  Institutional Police,Law Tac,Sheriff
49328,SFFDAWSS,A,c0b0,Fire Auxiliary Water Supply System AWSS Data,Data,Public Service Emergency Radio System
50000,Library 1,A,c350,SF Public Library 1  Security,Security,City Government
50032,Library 2,A,c370,SF Public Library 2,Public Works,City Government
50064,Library 3,A,c390,SF Public Library 3,Public Works,City Government
61808,Motive Power,A,f170,Motive Power Electrical maintenance,Public Works,City Government
64656,DPW23 RE1,A,fc90,Real Estate 1,Public Works,Public Service Emergency Radio System
64688,DPW22 RE2,A,fcb0,Real Estate 2,Public Works,Public Service Emergency Radio System
64720,DPW21 HOJ,A,fcd0,Hall of Justice Engineering,Public Works,Public Service Emergency Radio System
64752,DPW20 CE2,A,fcf0,CE 2,Public Works,Public Service Emergency Radio System
64784,DPW19 BInsp2,A,fd10,Building Inspectors 2,Public Works,Public Service Emergency Radio System
64816,DPW18 BInsp1,A,fd30,Building Inspectors 1,Public Works,Public Service Emergency Radio System
64848,DPW17 RepMt,A,fd50,Buildings Repair and Maintenance,Public Works,Public Service Emergency Radio System
64880,DPW16 Sewer1,A,fd70,Wastewater Sewer Ops 1,Public Works,Public Service Emergency Radio System
64912,DPW15 Sewer2,A,fd90,Wastewater Sewer Ops 2,Public Works,Public Service Emergency Radio System
64944,DPW14 StSew2,A,fdb0,Street and Sewer Repair 2,Public Works,Public Service Emergency Radio System
64976,DPW13 Street,A,fdd0,Street and Environmental Services 4,Public Works,Public Service Emergency Radio System
65008,DPW12 Bldg 2,A,fdf0,Building Repair 2,Public Works,Public Service Emergency Radio System
65040,DPW11 StEv3,A,fe10,Street and Environmental Services 3,Public Works,Public Service Emergency Radio System
65072,DPW10 Sup 2,A,fe30,Supervisors 2,Public Works,Public Service Emergency Radio System
65104,DPW 9 Sup 1,A,fe50,Supervisors 1,Public Works,Public Service Emergency Radio System
65136,DPW 8 EMERG,A,fe70,DPW Emergency,Public Works,Public Service Emergency Radio System
65168,DPW 7 EngAr,A,fe90,Engineering and Architecture,Public Works,Public Service Emergency Radio System
65200,DPW 6 UrbFor,A,feb0,Urban Forestry,Public Works,Public Service Emergency Radio System
65232,DPW 5 StEv2,A,fed0,Street and Environmental Services 2,Public Works,Public Service Emergency Radio System
65264,DPW 4 Bldg 1,A,fef0,Building Repair 1,Public Works,Public Service Emergency Radio System
65296,DPW 3 StSew1,A,ff10,Street and Sewer Repair 1,Public Works,Public Service Emergency Radio System
65328,DPW 2 StEv1,A,ff30,Street and Environmental Services 1,Public Works,Public Service Emergency Radio System
65360,DPW 1 Disp,A,ff50,Dispatch,Public Works,Public Service Emergency Radio System
